Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",,f_latitude,f_longitude,f_data,f_hora_utc,f_estado,f_municipio,f_bioma,f_numero_dias_sem_chuva,f_precipitacao,f_frp
2024/01/20,1700 UTC,0,"914,1","914,9","914,1",3256,"32,5","18,8","33,1","30,8",20,"16,7",49,41,44,284,"8,2","3,3",, -19.960210, -43.926260,20/01/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,0.0,1.71,3.7
2024/02/29,0400 UTC,0,"917,7","917,8","917,5",,23,"19,5","23,7",23,"19,7","19,2",81,77,81,343,"1,5",",4",, -19.859910, -43.873620,29/02/2024,0400 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,4.0,19.88,0.8
2024/02/29,0400 UTC,0,"917,7","917,8","917,5",,23,"19,5","23,7",23,"19,7","19,2",81,77,81,343,"1,5",",4",, -19.862510, -43.874600,29/02/2024,0400 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,4.0,19.65,1.0
2024/04/16,1700 UTC,0,"920,2","920,8","920,2","2031,4","25,9","17,1","28,5","25,6",18,"15,7",59,48,58,112,"6,5","2,3",, -19.877060, -44.013220,16/04/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,5.0,0.0,3.3
2024/05/04,1700 UTC,0,"919,8","920,3","919,8",2582,"29,1","14,3",30,"28,3",16,"13,4",45,38,40,115,6,"1,7",, -19.910050, -43.886690,04/05/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,11.0,0.0,3.7
2024/05/05,1700 UTC,0,"920,4","921,2","920,4","2556,6","29,1","15,4","29,1","27,3","16,3","14,2",48,42,43,68,"6,5","2,3",, -19.941270, -43.891730,05/05/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,10.0,0.0,8.2
2024/05/05,1700 UTC,0,"920,4","921,2","920,4","2556,6","29,1","15,4","29,1","27,3","16,3","14,2",48,42,43,68,"6,5","2,3",, -19.941910, -43.895670,05/05/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,10.0,0.0,8.2
2024/05/09,0400 UTC,0,"921,7","921,8","921,6",,"18,7","15,7","20,4","18,6","15,9","15,4",83,76,83,324,"2,5",0,, -19.899330, -43.906230,09/05/2024,0400 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,16.0,0.13,0.5
2024/05/10,1600 UTC,0,"919,7","920,4","919,6","2422,8","27,7",16,"28,7","26,2","17,3",15,56,45,49,56,"6,5","2,2",, -19.951150, -43.986660,10/05/2024,1600 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,18.0,0.0,2.3
2024/05/13,1700 UTC,0,"917,4","918,1","917,4","2390,3","30,3","13,8","30,4","29,3","14,7","12,3",39,34,37,296,"9,8","2,5",, -20.014570, -44.007160,13/05/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,28.0,0.0,12.9
2024/05/13,1700 UTC,0,"917,4","918,1","917,4","2390,3","30,3","13,8","30,4","29,3","14,7","12,3",39,34,37,296,"9,8","2,5",, -19.839160, -43.882370,13/05/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,25.0,0.0,1.6
2024/05/13,1700 UTC,0,"917,4","918,1","917,4","2390,3","30,3","13,8","30,4","29,3","14,7","12,3",39,34,37,296,"9,8","2,5",, -19.791580, -43.955200,13/05/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,30.0,0.0,4.7
2024/05/13,1700 UTC,0,"917,4","918,1","917,4","2390,3","30,3","13,8","30,4","29,3","14,7","12,3",39,34,37,296,"9,8","2,5",, -19.790940, -43.951320,13/05/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,29.0,0.0,4.7
2024/05/16,1700 UTC,0,"920,1","920,6","920,1","1962,2","27,5","16,3","28,1",26,"16,4","14,6",53,45,51,98,6,2,, -19.862180, -43.888790,16/05/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,26.0,0.0,2.4
2024/05/19,1600 UTC,0,"920,5","921,5","920,5",1843,"29,1","12,5","29,1","26,8","14,6","11,2",45,34,36,108,"3,5","1,3",, -19.830040, -43.874210,19/05/2024,1600 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,31.0,0.0,3.4
2024/05/19,1600 UTC,0,"920,5","921,5","920,5",1843,"29,1","12,5","29,1","26,8","14,6","11,2",45,34,36,108,"3,5","1,3",, -19.829490, -43.870460,19/05/2024,1600 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,32.0,0.0,4.1
2024/05/19,1700 UTC,0,"919,9","920,5","919,9","1971,9","28,4","12,9","29,5","27,8","14,6",11,43,33,38,350,"3,3",1,, -19.926450, -44.014110,19/05/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,35.0,0.0,1.8
2024/05/20,0400 UTC,0,"920,8","921,2","920,8",,"18,5","13,8","21,4","18,5","13,9","13,1",74,60,74,28,"2,6",",1",, -19.858120, -44.004450,20/05/2024,0400 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,34.0,0.0,1.7
2024/05/20,0400 UTC,0,"920,8","921,2","920,8",,"18,5","13,8","21,4","18,5","13,9","13,1",74,60,74,28,"2,6",",1",, -19.931900, -44.012080,20/05/2024,0400 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,36.0,0.0,0.6
2024/05/20,0400 UTC,0,"920,8","921,2","920,8",,"18,5","13,8","21,4","18,5","13,9","13,1",74,60,74,28,"2,6",",1",, -19.938510, -44.007640,20/05/2024,0400 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,34.0,0.0,0.9
2024/05/20,0400 UTC,0,"920,8","921,2","920,8",,"18,5","13,8","21,4","18,5","13,9","13,1",74,60,74,28,"2,6",",1",, -19.864850, -43.997500,20/05/2024,0400 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,33.0,0.0,1.0
2024/05/20,0400 UTC,0,"920,8","921,2","920,8",,"18,5","13,8","21,4","18,5","13,9","13,1",74,60,74,28,"2,6",",1",, -19.864220, -43.998630,20/05/2024,0400 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,34.0,0.0,1.1
2024/05/20,0400 UTC,0,"920,8","921,2","920,8",,"18,5","13,8","21,4","18,5","13,9","13,1",74,60,74,28,"2,6",",1",, -19.861640, -43.997770,20/05/2024,0400 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,34.0,0.0,1.0
2024/05/22,1600 UTC,0,923,"923,8",923,"2498,4","25,6","12,9","25,7","23,9","13,4","11,6",50,43,45,75,10,"2,6",, -19.861860, -43.892640,22/05/2024,1600 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,32.0,0.0,3.3
2024/05/22,1700 UTC,0,"922,1",923,"922,1","2341,1","25,5",11,"26,3","25,2","13,1","10,5",46,38,40,56,"7,5","2,8",, -19.861020, -43.892520,22/05/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,32.0,0.0,5.1
2024/05/25,0400 UTC,0,"919,5","919,8","919,4",,"17,9","14,3",19,"17,8","14,6","14,3",80,74,80,31,",9",0,, -19.841770, -44.002230,25/05/2024,0400 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,40.0,0.0,0.9
2024/06/02,1600 UTC,0,925,926,"924,9","2458,4",23,"12,3","23,1","22,2","12,7","11,5",54,49,51,81,"7,8","2,3",, -19.832460, -43.883220,02/06/2024,1600 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,45.0,0.0,9.7
2024/06/02,1600 UTC,0,925,926,"924,9","2458,4",23,"12,3","23,1","22,2","12,7","11,5",54,49,51,81,"7,8","2,3",, -19.831830, -43.878320,02/06/2024,1600 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,45.0,0.0,6.8
2024/06/03,1600 UTC,0,"924,7","925,9","924,7","2439,2","26,8","11,7","27,3","24,9","13,1","10,4",46,36,39,217,"3,6",",7",, -19.835270, -43.864700,03/06/2024,1600 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,46.0,0.0,6.6
2024/06/03,1600 UTC,0,"924,7","925,9","924,7","2439,2","26,8","11,7","27,3","24,9","13,1","10,4",46,36,39,217,"3,6",",7",, -19.822120, -43.889120,03/06/2024,1600 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,47.0,0.0,1.7
2024/06/04,1600 UTC,0,"922,8","923,7","922,8","2414,9","26,7","9,1","26,9","25,2","12,9","8,2",44,31,33,89,6,"1,7",, -19.827590, -43.880310,04/06/2024,1600 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,48.0,0.0,4.8
2024/06/05,1700 UTC,0,"922,6","923,6","922,6","2201,2","24,8",10,26,"24,3","11,7","9,8",43,38,39,106,"6,9","2,3",, -19.878460, -44.001000,05/06/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,40.0,0.0,2.7
2024/06/05,1700 UTC,0,"922,6","923,6","922,6","2201,2","24,8",10,26,"24,3","11,7","9,8",43,38,39,106,"6,9","2,3",, -19.874380, -44.002590,05/06/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,42.0,0.0,5.7
2024/06/05,1700 UTC,0,"922,6","923,6","922,6","2201,2","24,8",10,26,"24,3","11,7","9,8",43,38,39,106,"6,9","2,3",, -19.874100, -44.001900,05/06/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,42.0,0.0,2.7
2024/06/07,1600 UTC,0,"924,3","925,1","924,3","2413,6","26,3",12,"26,5",24,"13,8","11,5",52,40,41,75,"4,8","1,7",, -19.923680, -44.014570,07/06/2024,1600 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,24.0,0.0,4.5
2024/06/10,1700 UTC,0,"921,4","922,4","921,4","2168,9","27,3","11,3","27,5","25,8","12,9","10,8",43,37,37,65,"3,3","1,1",, -19.993410, -43.972050,10/06/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,41.0,0.02,7.2
2024/06/12,0400 UTC,0,"923,4","923,5","923,3",,"15,7","11,4","15,9","15,3","11,5","11,3",78,74,76,146,"1,2",",6",, -19.863270, -43.874490,12/06/2024,0400 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,53.0,0.0,1.2
2024/06/22,1700 UTC,0,"920,4","921,2","920,4","2192,9",26,"7,2","27,1","25,3","9,2","7,2",35,29,30,360,"6,4","2,5",, -19.860090, -43.874020,22/06/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,63.0,0.0,3.6
2024/06/23,1600 UTC,0,"921,2","922,1","921,2","1926,2","25,1","13,5","26,6","24,1","14,4","12,5",52,43,49,358,"5,4","1,2",, -19.814730, -43.923400,23/06/2024,1600 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,68.0,0.0,2.5
2024/06/29,1700 UTC,0,"918,4","919,2","918,3",1945,"28,7","7,3","28,8","26,6",8,"6,2",30,25,26,282,"7,1","2,5",, -19.814090, -43.904520,29/06/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,74.0,0.0,3.9
2024/07/01,0400 UTC,0,"920,7","920,9","920,7",,"19,4","13,2","20,1","18,8","13,4",13,69,65,67,91,"3,6","1,2",, -19.981320, -43.947820,01/07/2024,0400 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,63.0,0.0,1.1
2024/07/01,0400 UTC,0,"920,7","920,9","920,7",,"19,4","13,2","20,1","18,8","13,4",13,69,65,67,91,"3,6","1,2",, -19.980670, -43.949630,01/07/2024,0400 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,63.0,0.0,0.4
2024/07/04,1600 UTC,0,"920,4","921,5","920,4","2370,4","25,9","7,7",26,"24,6","9,4","5,7",36,28,31,91,"4,9","1,7",, -19.810070, -43.911140,04/07/2024,1600 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,79.0,0.0,2.6
2024/07/07,0400 UTC,0,"923,1","923,3","923,1",,"18,8","11,4","19,2","18,6","11,8","11,3",63,61,62,104,3,1,, -19.922030, -43.870560,07/07/2024,0400 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,76.0,0.0,1.2
2024/07/11,0400 UTC,0,921,"921,1","920,9",,"20,5",14,"20,7","20,2","14,1","13,8",67,65,66,104,"3,6","1,4",, -19.839400, -43.885830,11/07/2024,0400 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,84.0,0.0,0.6
2024/07/11,1700 UTC,0,"921,4","922,2","921,4","2160,2","29,6",8,"30,2","28,9","8,4","6,9",27,24,26,61,8,"2,3",, -19.828670, -43.941240,11/07/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,85.0,0.0,3.0
2024/07/11,1700 UTC,0,"921,4","922,2","921,4","2160,2","29,6",8,"30,2","28,9","8,4","6,9",27,24,26,61,8,"2,3",, -19.824010, -43.889410,11/07/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,85.0,0.0,3.7
2024/07/12,0400 UTC,0,"924,8","924,9","924,8",,"19,5","11,3","19,9","19,2","11,3","11,2",60,57,59,115,"3,1",1,, -19.830130, -43.884650,12/07/2024,0400 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,85.0,0.0,1.3
2024/07/12,0400 UTC,0,"924,8","924,9","924,8",,"19,5","11,3","19,9","19,2","11,3","11,2",60,57,59,115,"3,1",1,, -19.839630, -43.878890,12/07/2024,0400 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,85.0,0.0,0.8
2024/07/12,0500 UTC,0,"924,9","924,9","924,5",,"18,7","11,4","19,6","18,7","11,5","11,3",62,59,62,128,"2,9",1,, -19.827680, -43.882300,12/07/2024,0500 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,86.0,0.0,1.2
2024/07/12,1600 UTC,0,"924,5","925,7","924,5","2424,2","27,9","9,1","27,9","25,5","11,2",7,39,29,31,90,"5,1","2,3",, -19.831210, -43.878510,12/07/2024,1600 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,85.0,0.0,4.3
2024/07/12,1600 UTC,0,"924,5","925,7","924,5","2424,2","27,9","9,1","27,9","25,5","11,2",7,39,29,31,90,"5,1","2,3",, -19.827390, -43.879090,12/07/2024,1600 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,86.0,0.0,3.0
2024/07/12,1700 UTC,0,"923,9","924,5","923,9","2218,4","27,6","9,4","28,4","26,6","9,9","7,3",33,27,32,80,"6,7","1,7",, -19.826110, -43.879130,12/07/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,86.0,0.0,5.8
2024/07/15,0400 UTC,0,"924,8","925,3","924,8",,"16,8","9,8","17,2","15,5",10,"9,8",69,62,63,115,"3,4","1,5",, -19.840100, -43.885970,15/07/2024,0400 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,87.0,0.0,0.7
2024/07/19,1600 UTC,0,"925,5","926,4","925,5","2415,8","25,1","7,7","26,2","24,7","9,3","7,5",37,32,33,26,"4,6","1,8",, -19.796880, -43.965440,19/07/2024,1600 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,92.0,0.0,5.2
2024/07/19,1600 UTC,0,"925,5","926,4","925,5","2415,8","25,1","7,7","26,2","24,7","9,3","7,5",37,32,33,26,"4,6","1,8",, -19.799080, -43.961650,19/07/2024,1600 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,93.0,0.0,4.1
2024/07/19,1600 UTC,0,"925,5","926,4","925,5","2415,8","25,1","7,7","26,2","24,7","9,3","7,5",37,32,33,26,"4,6","1,8",, -19.797190, -43.962960,19/07/2024,1600 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,92.0,0.0,12.0
2024/07/19,1700 UTC,0,"924,8","925,5","924,8","2195,8","26,5","8,4","26,8","25,1",9,"6,9",34,30,32,348,"4,1","1,3",, -19.801160, -43.969420,19/07/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,91.0,0.0,10.2
2024/07/19,1700 UTC,0,"924,8","925,5","924,8","2195,8","26,5","8,4","26,8","25,1",9,"6,9",34,30,32,348,"4,1","1,3",, -19.799790, -43.959390,19/07/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,93.0,0.0,16.4
2024/07/19,1700 UTC,0,"924,8","925,5","924,8","2195,8","26,5","8,4","26,8","25,1",9,"6,9",34,30,32,348,"4,1","1,3",, -19.798210, -43.962660,19/07/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,92.0,0.0,0.8
2024/07/19,1700 UTC,0,"924,8","925,5","924,8","2195,8","26,5","8,4","26,8","25,1",9,"6,9",34,30,32,348,"4,1","1,3",, -19.794900, -43.963230,19/07/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,92.0,0.0,1.7
2024/07/19,1700 UTC,0,"924,8","925,5","924,8","2195,8","26,5","8,4","26,8","25,1",9,"6,9",34,30,32,348,"4,1","1,3",, -19.793770, -43.955880,19/07/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Cerrado,94.0,0.0,5.0
2024/07/19,1700 UTC,0,"924,8","925,5","924,8","2195,8","26,5","8,4","26,8","25,1",9,"6,9",34,30,32,348,"4,1","1,3",, -19.957420, -43.960850,19/07/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,63.0,2.04,1.4
2024/07/20,0500 UTC,0,"925,2","925,6","925,2",,"14,9","10,4","15,6","14,8","10,5","10,3",75,72,75,104,",8",0,, -19.946660, -43.958520,20/07/2024,0500 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,4.0,0.0,0.8
2024/07/21,1600 UTC,0,"924,3","925,2","924,3","2460,6","24,2","8,8","24,9","22,7","9,9","8,5",42,36,37,78,"5,8","1,1",, -20.003050, -43.981490,21/07/2024,1600 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,7.0,0.0,3.3
2024/07/21,1600 UTC,0,"924,3","925,2","924,3","2460,6","24,2","8,8","24,9","22,7","9,9","8,5",42,36,37,78,"5,8","1,1",, -19.908020, -43.988480,21/07/2024,1600 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,42.0,0.0,2.4
2024/07/21,1700 UTC,0,"923,5","924,3","923,5","2256,3","25,2","7,7","25,9","23,9","9,6","7,1",39,32,33,11,5,"1,3",, -19.911050, -43.986030,21/07/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,39.0,0.0,12.6
2024/07/21,1700 UTC,0,"923,5","924,3","923,5","2256,3","25,2","7,7","25,9","23,9","9,6","7,1",39,32,33,11,5,"1,3",, -20.000710, -43.981580,21/07/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,6.0,0.0,5.9
2024/07/21,1700 UTC,0,"923,5","924,3","923,5","2256,3","25,2","7,7","25,9","23,9","9,6","7,1",39,32,33,11,5,"1,3",, -20.004300, -43.981270,21/07/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,7.0,0.0,2.7
2024/07/21,1700 UTC,0,"923,5","924,3","923,5","2256,3","25,2","7,7","25,9","23,9","9,6","7,1",39,32,33,11,5,"1,3",, -20.002770, -43.983300,21/07/2024,1700 UTC,MINAS GERAIS,BELO HORIZONTE,Mata Atlântica,7.0,0.0,2.6
